CollectionID,run,ExpID,SiteID,site_name,series,continent,country,year,date,tectonicType1,tectonicType2,tectonicType3,tectonicType4,featureClass,featureType,hazardCode,matCode,wellDepth,rockType,lithology,lithologyUnit,waterType,latitude,longitude,elevation,temp,ph,spc,orp,do_sat,do,tds,sal,alk_tot,sio2,sulfide,fe2,gasFlow,fluidFlow,cl,br,no3,so4,po4,li,na,nh4,k,mg,ca,v,mn,fe,co,ni,cu,zn,se,mo,w,be,bo,al,ti,cr,ga,as,rb,sr,y,zr,nb,ag,cd,cs,ba,la,ce,pr,nd,sm,eu,gd,dy,ho,er,tm,yb,ta,re,tl,pb,th,u,v_s,mn_s,fe_s,co_s,ni_s,cu_s,zn_s,se_s,mo_s,w_s,be_s,bo_s,al_s,ti_s,cr_s,ga_s,as_s,rb_s,sr_s,y_s,zr_s,nb_s,ag_s,cd_s,cs_s,ba_s,la_s,ce_s,pr_s,nd_s,sm_s,eu_s,gd_s,dy_s,ho_s,er_s,tm_s,yb_s,ta_s,tl_s,pb_s,th_s,u_s,toc,tc,tn,prt,chla,D_w,d18O_w,d13DIC,d13TOC,d13TC,d13DOC,pcf,co2_dry,ch4_dry,s_dry,he_dry,h2_dry,o2_dry,ar_dry,n2_dry,co_dry,Unnamed: 179,d13CO2_dry,d13CH4_dry,co2_dis,ch4_dis,he_dis,h2_dis,o2_dis,ar_dis,n2_dis,d13CO2_dis,d13CH4_dis,co2_he,co2_ar,co2_ch4,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,dic_old,d18O_DIC,project,doi,sample_type,source,sample_accession,sample_me,site_me,geotype3,dic,database_solid,database_soli_id,material,rock_type,sample_name.1,lat_d,long_d,dist_to_sample,major_sum,sio2_d,tio2_d,al2o3_d,fe2o3_d,feo_d,FEOt_d,mno_d,mgo_d,cao_d,na2o_d,k2o_d,bao_d,p2o5_d,cu_d,co_d,mo_d,ni_d,v_d,zn_d,ba_d,be_d,ce_d,cr_d,dy_d,er_d,eu_d,ga_d,gd_d,hr_d,ho_d,la_d,li_d,lu_d,nb_d,nd_d,pb_d,pr_d,rb_d,sc_d,sm_d,sn_d,sr_d,ta_d,tb_d,th_d,ti_d,tl_d,u_d,w_d,y_d,yb_d,zr_d,map_id,source_id,name,lith,comments,t_int_id,t_int_name,b_int_id,b_int_name,color,t_age,b_age,best_int_name,sample_subgroup,sample_group,surface_subsurface
PB_190912,PB_190912_S,AEO19,PB,Pietra del Bagno,8,EUR,ITA,2019.0,2019-09-12,plate margin,convergent,oceanic-continental subduction,volcanic arc,submarine,Shallow-vent,,,,igneous,ign_intermediate,Quaternary andesite,,38.47514,14.898117,-12.0,45.0,8.08,29.85,77.0,57.3,4.05,15126.15,1.84,,,,,,,22950.868,65.986,,2678.767,,0.3677,11693.128,,442.545,1411.152,342.509,4.57,79.45,315.81,0.6,15.924,,,,16.823,,0.08,5657.3,927.728,2.16,40.61,0.29,3.83,200.27,10303.7,0.26,4.43,,5.74,0.02,5.41,,0.42,1.41,0.07,0.36,,,0.06,0.05,0.01,,,0.01,,,0.55,0.74,0.1304,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.4,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.42,,,sediment,coevolve,,,,,,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,37.15930836677058,97.09,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,3158556.0,147.0,Quaternary andesite,andesite group,,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_sediment,subsurface_sample,subsurface
PB_190912,PB_190912_F,AEO19,PB,Pietra del Bagno,8,EUR,ITA,2019.0,2019-09-12,plate margin,convergent,oceanic-continental subduction,volcanic arc,submarine,Shallow-vent,,,,igneous,ign_intermediate,Quaternary andesite,,38.47514,14.898117,-12.0,45.0,8.08,29.85,77.0,57.3,4.05,15126.15,1.84,,,,,,,22950.868,65.986,,2678.767,,0.3677,11693.128,,442.545,1411.152,342.509,4.57,79.45,315.81,0.6,15.924,,,,16.823,,0.08,5657.3,927.728,2.16,40.61,0.29,3.83,200.27,10303.7,0.26,4.43,,5.74,0.02,5.41,,0.42,1.41,0.07,0.36,,,0.06,0.05,0.01,,,0.01,,,0.55,0.74,0.1304,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.4,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.42,,,fluid,coevolve,,,,,,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,37.15930836677058,97.09,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,3158556.0,147.0,Quaternary andesite,andesite group,,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_fluid,subsurface_sample,subsurface
BO_190909,BO_190909_B,AEO19,BO,Bottaro,6,EUR,ITA,2019.0,2019-09-09,plate margin,convergent,oceanic-continental subduction,volcanic arc,submarine,Shallow-vent,,,,igneous,ign_intermediate,Quaternary andesite,,38.6388904,15.1104468,-6.5,46.0,5.4,61.0,-260.0,15.0,0.88,30856.9,4.09,,,,,,,24882.589,73.097,,2623.202,,1.073,12680.011,,584.858,1515.692,716.039,,17949.3,123.96,0.29,7.606,,179.13,,0.983,,0.97,7845.8,,,18.86,0.0,13.314,1102.2,12195.0,2.34,1.95,0.081,3.87,,213.33,89.53,0.3,1.66,0.05,0.29,0.04,0.02,0.09,0.14,0.04,0.12,0.02,0.1,,0.01,2.59,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.68,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.34,,,biofilm,coevolve,,,,,,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,37.15930836677058,97.09,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,3158556.0,147.0,Quaternary andesite,andesite group,,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_biofilm,subsurface_sample,subsurface
BO_190909,BO_190909_S,AEO19,BO,Bottaro,6,EUR,ITA,2019.0,2019-09-09,plate margin,convergent,oceanic-continental subduction,volcanic arc,submarine,Shallow-vent,,,,igneous,ign_intermediate,Quaternary andesite,,38.6388904,15.1104468,-6.5,46.0,5.4,61.0,-260.0,15.0,0.88,30856.9,4.09,,,,,,,24882.589,73.097,,2623.202,,1.073,12680.011,,584.858,1515.692,716.039,,17949.3,123.96,0.29,7.606,,179.13,,0.983,,0.97,7845.8,,,18.86,0.0,13.314,1102.2,12195.0,2.34,1.95,0.081,3.87,,213.33,89.53,0.3,1.66,0.05,0.29,0.04,0.02,0.09,0.14,0.04,0.12,0.02,0.1,,0.01,2.59,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.68,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.34,,,sediment,coevolve,,,,,,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,37.15930836677058,97.09,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,3158556.0,147.0,Quaternary andesite,andesite group,,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_sediment,subsurface_sample,subsurface
PO_190911,PO_190911_F,AEO19,PO,Pollara,7,EUR,ITA,2019.0,2019-09-11,plate margin,convergent,oceanic-continental subduction,volcanic arc,submarine,Shallow-vent,,,,igneous,ign_intermediate,Quaternary andesite,,38.574516,14.799716,-10.0,28.0,5.6,58.0,121.0,48.0,3.76,29341.9,3.9,,,,,,,21986.563,66.143,,2537.122,,0.224,11638.648,,437.112,1420.754,377.06,3.44,71.69,420.8,0.7,10.957,,,,14.787,,0.02,5233.3,275.897,1.3,26.79,,4.3,173.5,9141.7,0.39,2.79,,4.18,,5.54,12.27,0.48,1.19,0.07,0.37,0.02,0.0,0.06,0.05,0.01,,,0.02,,0.01,1.18,8.49,0.0994,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.37,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.21,,,fluid,coevolve,,,,,,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,37.15930836677058,97.09,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,3158556.0,147.0,Quaternary andesite,andesite group,,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_fluid,subsurface_sample,subsurface
LB_190908,LB_190908_F,AEO19,LB,Levante Bay,2,EUR,ITA,2019.0,2019-09-08,plate margin,convergent,oceanic-continental subduction,volcanic arc,submarine,Shallow-vent,,,,igneous,ign_intermediate,Quaternary andesite,,38.416729,14.959821,-0.2,83.9,5.8,52.0,-295.0,11.0,0.41,26311.9,3.3,,,,,,,18998.343,59.241,,2397.332,,0.4254,10250.139,,517.416,1192.018,386.684,1.65,1969.4,122.63,0.13,0.941,,420.32,0.78,,,0.29,11946.1,89.604,0.77,5.54,0.23,3.552,785.37,7149.4,0.4,0.62,,3.81,,39.56,121.19,0.47,0.93,0.07,0.49,0.03,,0.36,0.08,0.02,,,0.02,,,0.01,0.24,0.6694,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.03,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.55,,,fluid,coevolve,,,,,,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,37.15930836677058,97.09,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,3158556.0,147.0,Quaternary andesite,andesite group,,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_fluid,subsurface_sample,subsurface
BC_190909,BC_190909_F,AEO19,BC,Baia Calcara,5,EUR,ITA,2019.0,2019-09-09,plate margin,convergent,oceanic-continental subduction,volcanic arc,submarine,Shallow-vent,,,,igneous,ign_intermediate,Quaternary andesite,,38.64557,15.076182,-15.0,90.0,5.26,56.0,150.0,43.0,1.51,28331.9,3.75,,,,,,,20581.765,61.366,,2181.477,,0.532,10898.93,,444.622,1278.445,370.753,4.35,14416.3,214.81,0.38,5.847,,,,,,0.13,7674.5,278.816,1.35,16.34,0.28,14.843,466.17,9118.0,,2.04,,4.28,,102.88,119.94,0.63,1.58,0.08,,0.1,,0.1,0.08,0.01,0.04,,0.04,,1.0,6.74,0.53,0.1914,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.42,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.37,,,fluid,coevolve,,,,,,EarthChem,TN62030711,whole_rock,"IGNEOUS,PLIUTONIC,FELSIC,ADAMELLITE",TN62030711,31.5,130.7,20.222742565627083,98.45088790000003,66.9,0.66,15.73,0.59,3.66,4.1908879,0.08,1.52,3.07,2.73,3.45,,0.12,40.0,12.0,,12.0,120.0,,420.0,,,25.0,,,,23.0,,,,,80.0,,,,35.0,,230.0,,,,120.0,,,,,,,,,,,3155385.0,147.0,Quaternary andesite,"Major:{andesite}, Minor{andesite tuff,latite andesite}",,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_fluid,subsurface_sample,subsurface
VC_190908,VC_190908_S,AEO19,VC,Volcano Crater,1,EUR,ITA,2019.0,2019-09-08,plate margin,convergent,oceanic-continental subduction,volcanic arc,subaerial,Fumarole,,,,igneous,ign_intermediate,Quaternary andesite,,38.405897,14.961687,301.0,78.0,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,soil,coevolve,,,,,,EarthChem,TN62030711,whole_rock,"IGNEOUS,PLIUTONIC,FELSIC,ADAMELLITE",TN62030711,31.5,130.7,19.286442094145215,98.45088790000003,66.9,0.66,15.73,0.59,3.66,4.1908879,0.08,1.52,3.07,2.73,3.45,,0.12,40.0,12.0,,12.0,120.0,,420.0,,,25.0,,,,23.0,,,,,80.0,,,,35.0,,230.0,,,,120.0,,,,,,,,,,,3139112.0,147.0,Quaternary rhyolite,"Major:{rhyolite}, Minor{rhyodacite,latite,andesite}",,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,terrestrial_soil,soil,surface
FV_220827,FV_220827_F,AEO22,FV,fangaia_vulcano,2,EUR,ITA,2022.0,2022-08-27,plate margin,convergent,oceanic-continental subduction,volcanic arc,subaerial,Spring,,,,igneous,ign_intermediate,Quaternary andesite,,38.416171,14.959509,5.0,41.5,1.82,15.72,267.4,13.3,0.81,7885.0,0.9,0.0,,,,,,2204.926,11.447,,4297.679,,0.119,1383.206,8.564,165.805,204.603,313.118,281.96,,,19.319,,,,,,,8.33,,,967.691,136.929,33.08,102.712,410.96,,52.093,5.557,,,0.085,19.633,,155.913,277.366,30.28,109.878,21.258,3.87,16.101,11.432,2.052,5.759,0.78,5.201,,,1.51,78.434,3.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8.666169,0.0,2.5e-05,,0.001665,0.047832,3.387624,,,,,,6.3e-06,3.04,4.84,2.13,0.57,,,,,,,fluid,coevolve,,,,,,EarthChem,TN62030711,whole_rock,"IGNEOUS,PLIUTONIC,FELSIC,ADAMELLITE",TN62030711,31.5,130.7,20.433373778940606,98.45088790000003,66.9,0.66,15.73,0.59,3.66,4.1908879,0.08,1.52,3.07,2.73,3.45,,0.12,40.0,12.0,,12.0,120.0,,420.0,,,25.0,,,,23.0,,,,,80.0,,,,35.0,,230.0,,,,120.0,,,,,,,,,,,3158556.0,147.0,Quaternary andesite,andesite group,,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_fluid,subsurface_sample,subsurface
HO_220830,HO_220830_F,AEO22,HO,Hotel Oasi,11,EUR,ITA,2022.0,2022-08-30,plate margin,convergent,oceanic-continental subduction,volcanic arc,subaerial,Well,,,,igneous,ign_intermediate,Quaternary andesite,,38.637719,15.075066,25.0,50.8,5.98,43.83,106.9,30.4,1.56,21910.0,2.75,655.0,,,,,,14782.04,54.608,41.094,2054.653,,,8082.916,4.853,328.014,1070.902,458.259,,,,5.03,,,,,,9.877,,,,0.966,,,,,,,,38.365,,,,,1.384,2.779,,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,11.74025,0.000533,7.1e-05,,0.000628,0.001958,0.222434,,,,,,7.39e-06,4.13,4.69,6.61,2.1,,,,,,,fluid,coevolve,,,,,1745.3012341174226,EarthChem,D206323,whole_rock,CALCAREOUS SANDSTONE,D206323,38.93333,-110.08333,4.9689727084144435,45.93962,36.0,0.2,4.5,2.0,,1.79962,,0.48,1.3,0.32,1.3,,0.04,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3155385.0,147.0,Quaternary andesite,"Major:{andesite}, Minor{andesite tuff,latite andesite}",,421.0,Quaternary,421.0,Quaternary,#F9F97F,0.0,2.588,Cenozoic,subsurface_fluid,subsurface_sample,subsurface
