run,date,latitude,longitude,elevation,temp,ph,spc,orp,do_sat,sal,alk_tot,sio2,sulfide,fe2,cl,br,no3,so4,po4,li,na,nh4,k,mg,ca,v,mn,fe,co,ni,cu,zn,se,mo,w,DIC,sample_accession,project,country,depth_m,scientific_name,env_biome,env_feature,env_material,sample_group,doi,source,sample_subgroup,surface_subsurface,ExpID
ERR14789945,2023-11-13,-11.5843,34.3481,468.0,28.38,8.89,0.2533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERS23657643,PRJEB86001,Malawi,5.0,lake water metagenome,freshwater biome,rift lake,lake water,freshwater,10.1038/s41564-025-02091-8,public_archives,freshwater_surface,surface,public_archives
ERR14789927,2022-09-22,35.2276,136.0249,86.0,8.46,7.14,0.1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERS23657624,PRJEB86003,Japan,50.0,lake water metagenome,freshwater biome,natural lake,lake water,freshwater,10.1038/s41564-025-02091-8,public_archives,freshwater_surface,surface,public_archives
ERR14789929,2022-09-25,37.4747,140.0988,514.0,4.49,6.45,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERS23657626,PRJEB86003,Japan,80.0,lake water metagenome,freshwater biome,tectonic lake,lake water,freshwater,10.1038/s41564-025-02091-8,public_archives,freshwater_surface,surface,public_archives
ERR5863126,2017-11-25,31.2333,130.5667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERS6344566,PRJEB35640,Japan,200.0,lake water metagenome,freshwater biome,lake,lake water,freshwater,10.1093/ismeco/ycae124,public_archives,freshwater_surface,surface,public_archives
ERR14789957,2023-04-21,-27.3939,152.6078,79.0,23.87,7.98,0.3534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERS23657656,PRJEB86002,Australia,2.0,lake water metagenome,freshwater biome,reservoir,lake water,freshwater,10.1038/s41564-025-02091-8,public_archives,freshwater_surface,surface,public_archives
ERR14789959,2023-04-27,-24.8734,151.847,76.0,22.53,7.18,0.1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERS23657658,PRJEB86002,Australia,5.0,lake water metagenome,freshwater biome,reservoir,lake water,freshwater,10.1038/s41564-025-02091-8,public_archives,freshwater_surface,surface,public_archives
SRR7985596,2015-07-16,-5.7366,29.9194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN08779359,PRJNA443007,Tanzania: Lake Tanganyika,,lake water metagenome,,,,freshwater,10.1038/s41396-021-00898-x,public_archives,freshwater_surface,surface,public_archives
SRR26175659,2016-11,5.579,10.5841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN37487840,PRJNA1019489,Cameroon: lake Monoun,70.0,lake water metagenome,freshwater lake biome [ENVO:01000252],meromictic lake [ENVO:00000199],lake water [ENVO:04000007],freshwater,10.4236/oje.2020.109039,public_archives,freshwater_surface,surface,public_archives
SRR28327192,2019-04-24,37.9518,127.8156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN40423193,PRJNA1087105,South Korea,,lake water metagenome,,,,freshwater,10.1038/s41597-025-05569-6,public_archives,freshwater_surface,surface,public_archives
SRR34141452,2023-10-30,27.35,88.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN49560646,PRJNA1281409,India: Sikkim,,lake water metagenome,,,,freshwater,10.1186/s12866-025-04450-1,public_archives,freshwater_surface,surface,public_archives
SRR24908263,2018,28.62,90.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN35688677,PRJNA982183,China: Tibet,,lake water metagenome,,,,freshwater,10.1186/s40168-024-01979-7,public_archives,freshwater_surface,surface,public_archives
ERR1877793,2014/2015,-19.8833,29.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892552,PRJEB18701,Zimbabwe,0.0,soil metagenome,savanna,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877791,2014/2015,-24.952,47.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892509,PRJEB18701,Madagascar,0.0,soil metagenome,dry tropical forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877714,2014/2015,30.3218,119.4427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892512,PRJEB18701,China,0.0,soil metagenome,temperate coniferous forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877931,2014/2015,39.9555,115.4258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892518,PRJEB18701,China,0.0,soil metagenome,temperate deciduous forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877891,2014/2015,42.0602,128.2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892513,PRJEB18701,China,0.0,soil metagenome,boreal forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877675,2014/2015,30.5737,77.2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892564,PRJEB18701,India,0.0,soil metagenome,dry tropical forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877836,2014/2015,13.5224,75.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892498,PRJEB18701,India,0.0,soil metagenome,,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877695,2014/2015,5.4059,116.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892557,PRJEB18701,Malaysia,0.0,soil metagenome,moist tropical forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877728,2014/2015,3.7103,101.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892477,PRJEB18701,Malaysia,0.0,soil metagenome,moist tropical forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877814,2014/2015,18.5289,98.3916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892556,PRJEB18701,Thailand,0.0,soil metagenome,moist tropical forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877914,2014/2015,43.2885,142.6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892592,PRJEB18701,Japan,0.0,soil metagenome,boreal forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
ERR1877651,2014/2015,6.425,80.4176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892619,PRJEB18701,Sri Lanka,0.0,soil metagenome,moist tropical forest,,soil,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
SRR5234506,2015-10,-26.8,29.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN06309432,PRJNA371523,South Africa,20.0,soil metagenome,Acacia-invaded ecosystem,rhizospheric soil,soil,soil,10.1007/s00248-018-1214-0,public_archives,terrestrial_soil,surface,public_archives
SRR5234509,2015-10,-29.22,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN06309429,PRJNA371523,South Africa,20.0,soil metagenome,Acacia-invaded ecosystem,bulk soil,soil,soil,10.1007/s00248-018-1214-0,public_archives,terrestrial_soil,surface,public_archives
