OGA_ID,sample_ID,depth,size fraction,latitude,longitude,project,sample_accession,run,filter_size (µm),date,Ocean,elevation,temp,ExpID,source,sample_subgroup,sample_group,surface_subsurface,doi,sal,tds,o2_dis
1,MP0103,ABY,[0.2-0.8µm],21.51,-23.45,PRJNA330076,SAMN05422183,SRR3968777,0.2,23/12/2010,Atlantic,-4005,2.0182,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.48951,34895.1,0.23432965749999995
4,MP0145,ABY,[0.2-0.8µm],14.52,-26.0,PRJNA330017,SAMN05422128,SRR3968061,0.2,26/12/2010,Atlantic,-4002,2.0429,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.4894799999999995,34894.799999999996,0.22236391
6,MP0204,ABY,[0.2-0.8µm],7.33,-26.0,PRJNA330139,SAMN05422107,SRR3968062,0.2,29/12/2010,Atlantic,-4003,2.0165,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.4890099999999995,34890.1,0.23703483749999998
8,MP0262,ABY,[0.2-0.8µm],-3.03,-27.33,PRJNA330005,SAMN05422143,SRR3967700,0.2,01/02/2011,Atlantic,-4002,1.7369,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.4867600000000003,34867.600000000006,0.24191311999999995
10,MP0327,ABY,[0.2-0.8µm],-9.12,-30.19,PRJNA330161,SAMN05422226,SRR3967690,0.2,01/05/2011,Atlantic,-4001,1.5802,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.4844700000000004,34844.700000000004,0.2333048625
12,MP0372,ABY,[0.2-0.8µm],-15.83,-33.41,PRJNA330007,SAMN05422138,SRR3967319,0.2,01/08/2011,Atlantic,-4003,1.4542,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.4826900000000003,34826.9,0.22859324499999997
14,MP0441,BAT,[0.2-0.8µm],-22.97,-36.95,PRJNA330097,SAMN05421901,SRR3966130,0.2,01/11/2011,Atlantic,-3907,0.5836,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.47347,34734.7,0.214103845
16,MP0556,BAT,[0.2-0.8µm],-26.91,-21.43,PRJNA330027,SAMN05422117,SRR3965592,0.2,24/01/2011,Atlantic,-3199,2.2513,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.49003,34900.3,0.2365454
18,MP0627,BAT,[0.2-0.8µm],-28.62,-11.8,PRJNA330150,SAMN05422194,SRR3965874,0.2,27/01/2011,Atlantic,-3662,2.0761,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.48613,34861.3,0.22617188749999997
20,MP0740,ABY,[0.2-0.8µm],-31.81,6.84,PRJNA330094,SAMN05422111,SRR3965758,0.2,02/02/2011,Atlantic,-4001,1.4922,malaspina,malaspina,marine_benthic,marine_water,surface,10.1002/lob.10008,3.4804699999999995,34804.7,0.210942745
