records,SRA_sample,biosample,ExpID,study_group,latitude,longitude,sample_name,Read_count_post_fastp,sequencing_technology,sample_type,cc_score,location1,location2,location3,location4,site_name,geotype1,geotype2,geotype3,tectonics1,tectonics2,tectonics3,tectonics4,magma_fo2,aersub1,aersub2,macrostrat_ID,macrostrat,macrostrat_type,macrostrat_siplified_type,mindat_id,locality_name,mindat_lat,mindat_long,distance_to_mindat_km,mineral_list_csv,altitude,temp,sal,ph,eh,toc,tn,dic,doc,ch4,h2,o2,rc_ra,f_aq,cl_aq,so4,h2s,br_aq,no_3,no2,nh4,po4_3,na_aq,k_aq,mg_aq,ca_aq,Li_aq,B_aq,K_aq,Ca_aq,Fe_aq,Zn_aq,As_aq,Rb_aq,cd,cu,co,fe,mn,mo,ni,v,zn,ag,al,ba,be,ce,cr,cs,ga,eu,gd,hf,la,li,pb,rb,sc,sn,sr,th,ti,tl,u,w,y,zr,database_solid,database_soli_id,material,rock_type,sample_name.1,lat_d,long_d,major_sum,sio2_d,tio2_d,al2o3_d,fe2o3_d,feo_d,FEOt_d,mno_d,mgo_d,cao_d,na2o_d,k2o_d,bao_d,p2o5_d,cu_d,co_d,mo_d,ni_d,v_d,zn_d,ba_d,be_d,ce_d,cr_d,dy_d,er_d,eu_d,ga_d,gd_d,hr_d,ho_d,la_d,li_d,lu_d,nb_d,nd_d,pb_d,pr_d,rb_d,sc_d,sm_d,sn_d,sr_d,ta_d,tb_d,th_d,ti_d,tl_d,u_d,w_d,y_d,yb_d,zr_d,si_o2,ti_o2,al2_o3,fe_ot,fe_o,fe2_o3,mn_o,mg_o,ca_o,na2_o,k2_o,p2_o5,CT,SedThic_Oc,SedThic_On,DistCoast,Time_rift,DSub,DMOR,DHS,DV,HF,PV,SR,slab_name,SDepth,SDip,ConvR,ConvAge,elevation,DOT,DCS,DMUSGS,DEQ,ConShelf,ConvObl,DPM,SfA
DRR093002,DRS056563,SAMD00080625,SRA,46.0,12.93,143.62,160705-skato-S08_S1,2331597.0,Illumina MiSeq,sediment,2.293612899,Pacific_Ocean,Mariana_trough,Southern_Mariana_Trough,Southern Mariana Trough,Southern Mariana Trough,vent,deep_vent,deep_vent,plate margin,convergent,oceanic_subduction,backarc,mild_reduced,subaerial,subaerial_saltwater,,,,,49577.0,Umatac,13.3136111,144.669167,121.676536,"Analcime,Natrolite",-3024.0,2.0,,7.7,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,243.0,,,,38.0,,,109.0,,,,4.57,,,,,1.0,,,250.0,,,,,,,52.0,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,97.02,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,,,,,,,,,,,,,7.030097925,65.43677082,0.0,122.321523,,138.98309,49.92965287,2404.613902,56.00773314,86.30461495,4.259063563,24.90908136,izu,-82.21634674,56.13442612,6.983534336,137.2419891,-3079.34206,33.86107744,4.662196845,1743.291059,13.87236579,,-62.4233284,26.51763513,2.231176321
DRR093003,DRS056564,SAMD00080626,SRA,46.0,12.93,143.62,160705-skato-S09_S2,3165978.0,Illumina MiSeq,sediment,2.142723621,Pacific_Ocean,Mariana_trough,Southern_Mariana_Trough,Southern Mariana Trough,Southern Mariana Trough,vent,deep_vent,deep_vent,plate margin,convergent,oceanic_subduction,backarc,mild_reduced,subaerial,subaerial_saltwater,,,,,49577.0,Umatac,13.3136111,144.669167,121.676536,"Analcime,Natrolite",-3024.0,2.0,,7.7,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,243.0,,,,38.0,,,109.0,,,,4.57,,,,,1.0,,,250.0,,,,,,,52.0,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,97.02,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,,,,,,,,,,,,,7.030097925,65.43677082,0.0,122.321523,,138.98309,49.92965287,2404.613902,56.00773314,86.30461495,4.259063563,24.90908136,izu,-82.21634674,56.13442612,6.983534336,137.2419891,-3079.34206,33.86107744,4.662196845,1743.291059,13.87236579,,-62.4233284,26.51763513,2.231176321
DRR093004,DRS056565,SAMD00080627,SRA,46.0,12.93,143.62,161219skato-S08_S1,14394451.0,Illumina MiSeq,sediment,0.1063353836,Pacific_Ocean,Mariana_trough,Southern_Mariana_Trough,Southern Mariana Trough,Southern Mariana Trough,vent,deep_vent,deep_vent,plate margin,convergent,oceanic_subduction,backarc,mild_reduced,subaerial,subaerial_saltwater,,,,,49577.0,Umatac,13.3136111,144.669167,121.676536,"Analcime,Natrolite",-3024.0,2.0,,7.7,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,243.0,,,,38.0,,,109.0,,,,4.57,,,,,1.0,,,250.0,,,,,,,52.0,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,97.02,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,,,,,,,,,,,,,7.030097925,65.43677082,0.0,122.321523,,138.98309,49.92965287,2404.613902,56.00773314,86.30461495,4.259063563,24.90908136,izu,-82.21634674,56.13442612,6.983534336,137.2419891,-3079.34206,33.86107744,4.662196845,1743.291059,13.87236579,,-62.4233284,26.51763513,2.231176321
DRR093005,DRS056566,SAMD00080628,SRA,46.0,12.93,143.62,161222skato-S09_S1,20194258.0,Illumina MiSeq,sediment,1.304644809,Pacific_Ocean,Mariana_trough,Southern_Mariana_Trough,Southern Mariana Trough,Southern Mariana Trough,vent,deep_vent,deep_vent,plate margin,convergent,oceanic_subduction,backarc,mild_reduced,subaerial,subaerial_saltwater,,,,,49577.0,Umatac,13.3136111,144.669167,121.676536,"Analcime,Natrolite",-3024.0,2.0,,7.7,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,243.0,,,,38.0,,,109.0,,,,4.57,,,,,1.0,,,250.0,,,,,,,52.0,EarthChem,160-2,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",160-2,13.2367,143.7597,97.02,53.7,1.98,13.86,,,11.65,0.24,3.69,7.65,3.77,0.3,,0.25,46.4,33.5,,10.7,396.0,,39.7,,12.02,9.1,5.66,3.47,1.27,18.4,4.97,,1.26,4.31,,0.54,2.56,10.86,1.06,2.07,4.29,33.0,3.66,,157.5,,0.93,0.29,,,0.12,,35.0,3.44,109.0,,,,,,,,,,,,,7.030097925,65.43677082,0.0,122.321523,,138.98309,49.92965287,2404.613902,56.00773314,86.30461495,4.259063563,24.90908136,izu,-82.21634674,56.13442612,6.983534336,137.2419891,-3079.34206,33.86107744,4.662196845,1743.291059,13.87236579,,-62.4233284,26.51763513,2.231176321
DRR163686,DRS082835,SAMD00155365,SRA,36.0,31.53,130.49,"Y1, Yamanoshiro",50856777.0,Illumina Genome Analyzer IIx,fluid,1.320103538,Asia,Japan,Japan,Kirishima hot springs,Kirishima hot springs,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,,oxidized,aerial,aerial,3191225.0,sedimentary,sedimentary,sedimentary,31927.0,Suzuyama Mine,31.4902778,130.45,5.29163553,"Axinite-(Fe),Calcite,Cassiterite,Chalcopyrite,Chapmanite,Galena,Hisingerite,Pyrite,Pyrrhotite,Quartz,Siderite,Sphalerite,Stibnite",93.5,90.4,0.0,4.8,,0.0,0.0,,0.0,,,0.0,7.2,0.2,3.3,79.0,,0.5,14.5,16.9,,0.1,0.7,0.6,1.2,7.5,,,,,,,,,,0.0,2.0,0.2,0.1,5.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,EarthChem,TN62030711,whole_rock,"IGNEOUS,PLIUTONIC,FELSIC,ADAMELLITE",TN62030711,31.4-31.6,130.5-130.9,98.4508879,66.9,0.66,15.73,0.59,3.66,4.1908879,0.08,1.52,3.07,2.73,3.45,,0.12,40.0,12.0,,12.0,120.0,,420.0,,,25.0,,,,23.0,,,,,80.0,,,,35.0,,230.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,29.98196793,,0.0,2.878131726,,233.3882362,62.77753427,1181.187324,18.03562787,87.59608836,2.569748245,,ryu,-131.773941,59.96827316,7.619576931,54.5783844,86.00813175,847.8121446,4.261844575,95.76531686,36.82891872,1.0,36.36127472,285.4483585,
DRR163690,DRS082839,SAMD00155369,SRA,36.0,31.53,130.5,"I1, Ioudani ",49913632.0,Illumina Genome Analyzer IIx,fluid,1.289905091,Asia,Japan,Japan,Kirishima hot springs,Kirishima hot springs,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,,oxidized,aerial,aerial,3191225.0,sedimentary,sedimentary,sedimentary,31927.0,Suzuyama Mine,31.4902778,130.45,6.255475,"Axinite-(Fe),Calcite,Cassiterite,Chalcopyrite,Chapmanite,Galena,Hisingerite,Pyrite,Pyrrhotite,Quartz,Siderite,Sphalerite,Stibnite",9.4,88.0,1.0,2.9,,0.0,0.0,,0.0,,,0.1,7.2,0.4,7.4,1170.0,,0.6,0.2,,,0.1,86.2,8.4,7.0,41.2,,,,,,,,,,0.0,2.0,19.3,0.6,5.0,1.3,0.0,0.1,0.0,24.7,0.0,0.0,,0.0,0.1,0.0,,,,,0.3,,,,,0.8,0.0,0.0,,0.0,,,,EarthChem,TN62030711,whole_rock,"IGNEOUS,PLIUTONIC,FELSIC,ADAMELLITE",TN62030711,31.4-31.6,130.5-130.9,98.4508879,66.9,0.66,15.73,0.59,3.66,4.1908879,0.08,1.52,3.07,2.73,3.45,,0.12,40.0,12.0,,12.0,120.0,,420.0,,,25.0,,,,23.0,,,,,80.0,,,,35.0,,230.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,29.96502582,,0.0,2.432860849,,232.6048154,63.72378867,1181.347724,17.18528047,87.58727879,2.569486531,,ryu,-131.773941,59.96827316,7.619576931,54.5783844,22.458,848.3967497,4.157961011,95.62099189,37.27247715,1.0,36.36127472,284.5805449,
DRR163693,DRS082842,SAMD00155372,SRA,36.0,31.54,130.49,"N2, Nonoyufunki",18070128.0,Illumina MiSeq,fluid,1.286310037,Asia,Japan,Japan,Kirishima hot springs,Kirishima hot springs,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,,oxidized,aerial,aerial,3191225.0,sedimentary,sedimentary,sedimentary,31927.0,Suzuyama Mine,31.4902778,130.45,5.71491577,"Axinite-(Fe),Calcite,Cassiterite,Chalcopyrite,Chapmanite,Galena,Hisingerite,Pyrite,Pyrrhotite,Quartz,Siderite,Sphalerite,Stibnite",64.3,89.1,0.6,2.8,,0.0,0.0,,0.0,,,0.1,7.2,0.2,2.5,495.0,,,,,,0.1,23.9,8.0,7.1,20.0,,,,,,,,,,0.1,2.0,1.1,0.3,5.0,0.3,0.0,0.0,,10.8,0.0,0.0,,0.0,0.1,,,,,,0.0,,,,,0.2,0.0,0.0,,0.0,,,,EarthChem,TN62030711,whole_rock,"IGNEOUS,PLIUTONIC,FELSIC,ADAMELLITE",TN62030711,31.4-31.6,130.5-130.9,98.4508879,66.9,0.66,15.73,0.59,3.66,4.1908879,0.08,1.52,3.07,2.73,3.45,,0.12,40.0,12.0,,12.0,120.0,,420.0,,,25.0,,,,23.0,,,,,80.0,,,,35.0,,230.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,29.96637321,,0.0,3.717192088,,234.0157803,62.69527906,1180.094415,17.74106289,87.65457219,2.569221014,,ryu,-131.773941,59.96827316,7.619576931,54.5783844,75.009688,848.6865694,4.249035269,94.67037184,36.28629111,1.0,36.36127472,285.8998218,
SRR1297186,SRS601371,SAMN02743532,SRA,25.0,25.2,121.6,Shi-Huang-Ping microbes 8 cm,73351990.0,Illumina HiSeq 2000,fluid,0.8791988471,Asia,Taiwan,Taiwan,Shi-Huang-Ping hot spring,Shi-Huang-Ping hot spring,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,,oxidized,aerial,aerial,3190736.0,intermediate volcanic,igneous,andesite,32425.0,Keelung River,25.0986111,121.833611,26.6439495,"Gold,Magnetite,Quartz,Zircon",306.0,69.0,0.889,2.5,-62.0,,,,0.08333333,,,,5.01,,,378.0,1.64379289,,,,,,12.0,2.17,1.21,1.32,,,,,,,,,,,,111.0,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,KM-6,whole_rock,"IGNEOUS, PLUTONIC, EXOTIC, LAMPROPHYRE",KM-6,25.03,121.67,93.44,52.22,1.36,17.54,,,6.16,0.1,1.69,3.22,7.42,4.73,,,16.0,,,27.5,,,,,,4.0,,,,,,,,,20.0,,,,,,101.0,,,,304.0,,,,,,,,,,,58.87375,0.76625,16.65625,2.78625,3.70625,6.213345613,0.098,3.4425,6.3275,3.4,1.805,0.245,26.61198523,,2498.83,11.44977188,,412.1888123,342.4248047,1323.636108,8.721820831,81.06907434,2.620182276,,ryu,-28.41028786,32.29580688,7.149112701,52.07841492,299.0,44.17192841,0.0,26.69186783,44.7644577,,-21.0551033,654.4379272,
SRR1297204,SRS614142,SAMN02786246,SRA,25.0,25.2,121.6,Shi-Huang-Ping microbes 0 - 25 cm,96834105.0,Illumina HiSeq 2000,fluid,8.144946271,Asia,Taiwan,Taiwan,Shi-Huang-Ping hot spring,Shi-Huang-Ping hot spring,spring,hot_spring,hot_spring,plate margin,convergent,oceanic-continental subduction,,oxidized,aerial,aerial,3190736.0,intermediate volcanic,igneous,andesite,32425.0,Keelung River,25.0986111,121.833611,26.6439495,"Gold,Magnetite,Quartz,Zircon",306.0,69.0,0.889,2.5,-62.0,,,,0.08333333,,,,5.01,,,378.0,1.64379289,,,,,,12.0,2.17,1.21,1.32,,,,,,,,,,,,111.0,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,KM-6,whole_rock,"IGNEOUS, PLUTONIC, EXOTIC, LAMPROPHYRE",KM-6,25.03,121.67,93.44,52.22,1.36,17.54,,,6.16,0.1,1.69,3.22,7.42,4.73,,,16.0,,,27.5,,,,,,4.0,,,,,,,,,20.0,,,,,,101.0,,,,304.0,,,,,,,,,,,58.87375,0.76625,16.65625,2.78625,3.70625,6.213345613,0.098,3.4425,6.3275,3.4,1.805,0.245,26.61198523,,2498.83,11.44977188,,412.1888123,342.4248047,1323.636108,8.721820831,81.06907434,2.620182276,,ryu,-28.41028786,32.29580688,7.149112701,52.07841492,299.0,44.17192841,0.0,26.69186783,44.7644577,,-21.0551033,654.4379272,
SRR1556897,SRS688587,SAMN02419148,SRA,32.0,38.94,-110.14,CG2_0.2A,4716480.0,Illumina HiSeq 2000,fluid,24.5712318,North_America,USA,Utah,Green River,Crystal Geyser,spring,hot_spring,geyser,intraplate,rift,continental rift,,mild_reduced,aerial,aerial,2876053.0,sandstone,sedimentary,sedimentary,245781.0,Green River Area,38.8738889,-110.17194,4.36274275,Aragonite,4369.0,17.5,11.52,7.6,,,,,,,,,,2.4,4295.0,2211.0,,,2.4,,,2.3,90577.0,14072.0,5566.0,40318.0,,,,,,,,,,5.553396,9.0,546.6736,108.2121,0.0067165,2.7233552,0.094242,7.25718,,2.50914,2.1423012,0.00036049,0.00588487,0.233982,2.0866085,,,,,,21.0,,,,0.0273033,1279.252,,0.5313237,,1.27583008,,,1.72,EarthChem,D206323,whole_rock,CALCAREOUS SANDSTONE,D206323,38.93333,-110.08333,45.93962,36.0,0.2,4.5,2.0,,1.79962,,0.48,1.3,0.32,1.3,,0.04,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.02447628,,2837.35,879.4922805,,1261.457681,597.4840047,567.2059022,204.5892739,75.51268168,1.690207931,,,,,,,1256.720064,931.1562797,,103.8676173,260.6450894,,,1277.028417,
