sampleID,latitude,longitude,elevation,standingWaterDepth,temp,litterDepth,sampleTopDepth,sampleBottomDepth,siteID,nlcdClass,collectDate,sampleExtent,soilSamplingDevice,soilMoisture,dryMassFraction,horizon,ph,soilInCaClpH,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,kclAmmoniumNConc,kclNitrateNitriteNConc,ExpID,source,sample_subgroup,sample_group,project,doi,aquaticSiteType,samplerType,do,do_sat,specificConductance_field,maxDepth,lakeSampleDepth1,lakeSampleDepth2,alkMeqPerL_ALK,initialSamplepH_ALK,ancMeqPerL_ANC,initialSamplepH_ANC,br,ca,cl,dic,doc,f,k,mg,na,so4,TDN,TDP,tds,TN,TOC,TP,TPC,TPN,TSS,TSS - Dry Mass,UV Absorbance (254 nm),UV Absorbance (280 nm),spc,habitatType,dominantHabitat,algalSampleType,benthicArea,substratumSizeClass,carbon,chlorophyll a,d13C,d34S,nitrogen,pheophytin,phosphorus,sulfur,total chlorophyll a,fe,mn,si,nh4,no2,no3,po4,surface_subsurface
WOOD_001-M-20180723-COMP,47.128257999999995,-99.257768,596.3,0.0,18.1,1.8333333333333333,0.0,30.1,WOOD,grasslandHerbaceous,2018-07-23T17:18Z|2018-07-23T17:38Z|2018-07-23T17:04Z,maximum,probe,0.2193333333333333,0.8203333333333332,M,7.047817628884705,6.586560001752204,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_045-O-20180723-COMP,47.127465,-99.246302,593.2,0.0,21.1,0.5,0.0,2.5,WOOD,grasslandHerbaceous,2018-07-23T17:33Z,entire,brownie cutter,0.498,0.667,O,6.76,6.13,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_045-M-20180723-COMP,47.127465,-99.246302,593.2,0.0,21.35,1.75,0.0,30.0,WOOD,grasslandHerbaceous,2018-07-23T18:03Z|2018-07-23T18:33Z,maximum,auger,0.12,0.893,M,7.876215809315752,7.474280839205794,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_004-M-20180723-COMP,47.12584,-99.253801,594.1,0.0,18.066666666666663,1.3333333333333333,0.0,30.6,WOOD,grasslandHerbaceous,2018-07-23T18:53Z|2018-07-23T19:04Z|2018-07-23T18:43Z,maximum,probe,0.1863333333333333,0.8436666666666666,M,6.947598011363626,6.356811182268791,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_042-M-20180723-COMP,47.12909199999999,-99.245921,584.5,0.0,22.5,1.6666666666666667,0.0,30.666666666666668,WOOD,grasslandHerbaceous,2018-07-23T19:29Z|2018-07-23T20:29Z|2018-07-23T20:11Z,maximum,auger|probe,0.2143333333333333,0.8246666666666665,M,6.212289533991152,5.616844784708949,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_003-O-20180723-COMP,47.118581,-99.239944,585.7,0.0,22.0,0.0,0.0,3.0,WOOD,grasslandHerbaceous,2018-07-23T20:36Z,entire,brownie cutter,0.289,0.776,O,7.33,6.85,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_003-M-20180723-COMP,47.118581,-99.239944,585.7,0.0,21.95,0.5,0.0,29.15,WOOD,grasslandHerbaceous,2018-07-23T21:21Z|2018-07-23T20:52Z,maximum,probe,0.1755,0.852,M,7.692672792415329,7.313591190636447,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_043-M-20180724-COMP,47.131002,-99.242763,580.2,0.0,17.933333333333334,2.0,0.0,30.666666666666668,WOOD,grasslandHerbaceous,2018-07-24T15:03Z|2018-07-24T14:20Z|2018-07-24T14:43Z,maximum,probe|auger,0.1633333333333333,0.8609999999999999,M,6.8873930789687385,6.430507456101197,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_044-M-20180724-COMP,47.12829,-99.243528,586.4,0.0,17.46666666666667,1.0,0.0,30.333333333333332,WOOD,grasslandHerbaceous,2018-07-24T15:47Z|2018-07-24T15:58Z|2018-07-24T15:34Z,maximum,probe,0.1973333333333333,0.8403333333333333,M,7.8329648062126465,7.437090915842746,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_002-M-20180724-COMP,47.136134,-99.232896,573.6,0.0,20.3,0.3333333333333333,0.0,30.5,WOOD,grasslandHerbaceous,2018-07-24T17:54Z|2018-07-24T17:30Z|2018-07-24T17:40Z,maximum,probe,0.1633333333333333,0.86,M,7.351038006547462,6.82700243965987,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
WOOD_005-M-20180724-COMP,47.149339,-99.251928,590.3,0.0,21.366666666666664,0.8333333333333334,0.0,30.166666666666668,WOOD,grasslandHerbaceous,2018-07-24T18:48Z|2018-07-24T19:20Z|2018-07-24T19:08Z,maximum,probe,0.1256666666666666,0.8889999999999999,M,7.851838791466579,7.429526050449453,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
