sample_ID,station,depth,latitude,longitude,INSDC_ID,sample_accession,Depth_Nominal,Biome,Date_Time,Seafloor (m),temp,sal,sigma_theta,Distance_coast (km),Chlorophyll_A (mg/m**3),PAR (mol quanta/m**2/day),Iron_5m* (µmol/l),Ammonium_5m* (µmol/l),Nitrite_5m* (µmol/l),Nitrate_5m* (µmol/l),CDOM* (ppb (QSE)),NPP_C* (mg/m**2/day),POC* (µg/kg),PIC* (mol/m3),NO2 (µmol/l),NO3_NO2 (µmol/l),Si (µmol/l),MLD (m),DCM (m),Depth_max_Brunt_Väisälä_freq (m),Depth_max_O2 (m),Depth_min_O2 (m),Depth_nitracline (m),Shannon_Darwin* (-),Shannon_Physat* (-),miTAG_SILVA_Chao (-),miTAG_SILVA_Shannon (-),OG_Richness (-),OG_Evenness (-),Chlorophyll c3 (mg/m**3),Peridinin (mg/m**3),Fucoxanthin (mg/m**3),Prasinoxanthin (mg/m**3),19-Hexanoyloxyfucoxanthin (mg/m**3),Alloxanthin (mg/m**3),Zeaxanthin (mg/m**3),Lutein (mg/m**3),Season,Season_subperiod,Okubo-Weiss* (-),Lyapunov* (l/day),Residence_time* (days),selected_run,readcount,ExpID,source,elevation,Chl_a (mg/m3),Chl_b (mg/m3),Chl_c1c2 (mg/m3),DV_Chl_a (mg/m3),DV_Chl_b (mg/m3),Total_Chl_a (mg/m3),Total_Chl_b (mg/m3),Bacteriochlorophyll_a (mg/m3),19-Butanoyloxyfucoxanthin (mg/m3),Diadinoxanthin (mg/m3),Diatoxanthin (mg/m3),Neoxanthin (mg/m3),Violaxanthin (mg/m3),Carotene_ab (mg/m3),Chlorophyllid_a (mg/m3),Phaeophorbid_a (mg/m3),Phaeophytin_a (mg/m3),bbp470 (m-1),cp660 (m-1),beta117_470 (m-1 Sr-1),bbp470_factory (m-1),spc,depth_sampling (m),ph,HCO3 (µmol/kg),CO3 (µmol/kg),OmegaArag,OmegaCalc,pCO2 (µatm),fCO2 (µatm),AT_OGA (µmol/kg),DIC_OGA (µmol/kg),CO3_OGA (µmol/kg),HCO3_OGA (µmol/kg),o2_dis,no3,co2_dis,po4,alk_tot,dic,sample_group,sample_subgroup,surface_subsurface,tds,project,doi
TARA_X000000368,TARA_004,DCM,36.5533,-6.5669,ERR599095|ERR598950,SAMEA2619399,DCM,Westerlies Biome,2009-09-15 18:00,-49.0,16.3584,3.6581099999999998,26.8866,15.1848,0.6324,0.662801,0.001387698,0.022870243,0.044259438,0.008067715,1.15753,-4330.89,72.95794296,0.00025195122,,,,11.0,38.0,36.0,,,,,0.602176,4173.586521,6.849890504,14607.3,0.746714862,,,,,,,,,summer,late,,0.031746,4.0,ERR599095,206216019.0,tara,tara,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marine_water,marine_surface,surface,36581.1,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_X000000263,TARA_004,SRF,36.5533,-6.5669,ERR599003|ERR598955,SAMEA2619376,SRF,Westerlies Biome,2009-09-15 11:30,-62.0,20.238088,3.6599199,25.909909,18.5085,0.094049,14.83481,0.001387698,0.022870243,0.044259438,0.008067715,1.17632,832.628,72.95794296,0.00025195122,,,,12.0,36.0,25.0,,,,,0.602176,3762.955009,6.635940557,14590.9,0.745266014,,,,,,,,,summer,late,,0.031746,4.0,ERR598955,172718018.0,tara,tara,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marine_water,marine_surface,surface,36599.199,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_A200000159,TARA_007,DCM,37.0541,1.9478,ERR315856,SAMEA2591074,DCM,Westerlies Biome,2009-09-23 16:08,-2784.0,17.521075,3.71036,27.003675,48.0551,0.33747,0.188942,0.001387777,0.01524472,0.033489773,0.006918471,,356.9545,,,0.0,0.028,0.4985,18.0,43.0,45.0,,,,0.635715,0.5693,4786.075692,6.801171081,16416.5,0.750016278,0.0181,0.0204,0.0256,0.0539,0.0778,0.0169,0.1317,0.0,autumn,early,-1.3813,0.0,0.0,ERR315856,,tara,tara,-42.0,0.20948,0.02452,0.01148,0.0143,0.0,0.22392,0.02452,0.00096,0.01192,0.005,0.0,0.00586,0.0023399999999999,0.01774,0.00016,0.00486,0.00318,,,,,49.724615799999995,54.0,,,,,,,,0.0265,0.0256,0.0273,0.0243,,,,0.0006173141,,,marine_water,marine_surface,surface,37103.6,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_A200000113,TARA_007,SRF,37.051,1.9378,ERR315857,SAMEA2591057,SRF,Westerlies Biome,2009-09-23 12:50,-2784.0,23.8141,3.7521999999999998,25.61115,48.0551,0.065832,1.794369,0.001387777,0.01524472,0.033489773,0.006918471,,356.9545,,,0.0445,0.14325,0.7935,18.0,43.0,45.0,,,,0.635715,0.5693,3872.353048,6.525141459,15495.1,0.746406446,0.0045,0.002,0.00695,0.0,0.02065,0.0,0.0507,0.0,autumn,early,-1.3813,0.0,0.0,ERR315857,,tara,tara,-9.0,0.08895,0.00645,0.00735,0.02305,0.0,0.112,0.00645,0.00105,0.0066999999999999,0.0046999999999999,0.0,0.00065,0.00095,0.0084,0.0,0.0,0.0,,,,,55.114851,7.5,,,,,,,,0.00065,0.00695,0.0067,0.0,,,,0.0045111414999999995,,,marine_water,marine_surface,surface,37522.0,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_X000001036,TARA_009,DCM,39.0609,5.9422,ERR594315|ERR594329,SAMEA2619548,DCM,Westerlies Biome,2009-09-28 16:59,-2866.0,15.9708,3.768195,27.81605,157.8376,0.4575,1.233359,0.00138773,0.015086659,0.048709321,0.01675451,,240.841,35.80424881,8.1e-05,,,,,56.0,25.0,,,,0.600831,0.52087,4462.68593,6.907613079,15318.4,0.742404217,0.01,0.0124,0.0067,0.0025,0.0557,0.0014,0.0569,0.0,autumn,early,0.021447,0.190651,0.0,ERR594329,,tara,tara,-55.0,0.1287,0.0095666666666666,0.0144333333333333,0.0489333333333333,0.0,0.1787,0.0095666666666666,0.0006333333333333,0.0150333333333333,0.0039666666666666,0.0,0.0014666666666666,0.0005,0.0124999999999999,0.0011,0.005,0.0038666666666666,,,,,45.95082933333333,88.33333333333333,,,,,,,,0.002,0.0067,0.0169,0.0071,,,,,,,marine_water,marine_surface,surface,37681.95,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_X000000950,TARA_009,SRF,39.1633,5.916,ERR594288|ERR594316|ERR594317,SAMEA2619531,SRF,Westerlies Biome,2009-09-28 12:18,-2913.0,24.4828,3.7804200000000003,25.621,156.9683,0.0058,19.939398,0.00138773,0.015086659,0.048709321,0.01675451,,240.841,35.93962097,8.31e-05,,,,25.0,54.0,35.0,,,,0.600831,0.52087,3982.789601,6.62496839,15315.1,0.749529591,0.0,0.0,0.0003,0.0,0.0016,0.0,0.0089,0.0,autumn,early,0.021447,0.190651,0.0,ERR594316,,tara,tara,-9.0,0.0115,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,,,,,56.301291,5.0,,,,,,,,0.0,0.0003,0.0003,0.0,,,,,,,marine_water,marine_surface,surface,37804.200000000004,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_S200000501,TARA_018,DCM,35.7528,14.2765,ERR599073|ERR599092,SAMEA2619678,DCM,Westerlies Biome,2009-11-02 14:07,-818.0,18.30575,3.7849449999999996,27.375,14.2151,0.024,0.437326,0.001387895,0.009119561,0.030015622,0.010272223,,315.859,43.87895775,9.24e-05,0.0263,0.038,0.58135,50.0,82.0,60.0,58.0,580.0,,,0.455844,,,,,0.0136,0.0055,0.0118,0.0,0.0825,0.0,0.0821,0.0,autumn,middle,-0.124391,0.066158,15.222222,ERR599092,168907978.0,tara,tara,-60.0,,,,,,,,,,,,,,,,,,0.0010061666666666,0.0360878333333333,4.916666666666667e-05,-0.0001948333333333,50.615721666666666,70.24091666666666,,,,,,,,0.0017,0.0118,0.0452,0.0,0.245228890359375,,,0.0012441253400000002,,,marine_water,marine_surface,surface,37849.45,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_A100000164,TARA_018,SRF,35.759,14.2574,ERR599140|ERR598993,SAMEA2619667,SRF,Westerlies Biome,2009-11-02 8:13,-793.0,21.48665,3.789575,26.565263,13.8783,0.0018,19.262582,0.001387895,0.009119561,0.030015622,0.010272223,,315.859,43.04259491,8.9e-05,0.01833,0.118,0.5571,51.0,80.0,61.0,60.0,221.0,,,0.455844,,,,,0.0053,0.0033,0.0103,0.0,0.0428,0.0006,0.0541,0.0,autumn,middle,-0.124391,0.066158,15.222222,ERR598993,178744268.0,tara,tara,-5.0,,,,,,,,,,,,,,,,,,0.0010825,0.0567079999999999,5.9e-05,-0.000184,53.0741145,6.45875,,,,,,,,0.001,0.0103,0.0228,0.0,0.213777083193435,,,0.00243126784,,,marine_water,marine_surface,surface,37895.75,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_E500000081,TARA_023,DCM,42.1735,17.7252,ERR315859|ERR315860,SAMEA2591098,DCM,Westerlies Biome,2009-11-18 13:50,-1183.0,15.180558,3.8473750000000004,28.613475,57.9209,0.0656,0.054743,0.001387878,0.001431253,0.027064617,0.077471482,,468.419,,,0.013,0.05,1.0505,12.0,58.0,58.0,43.0,160.0,,0.309499,0.542748,,,,,,,,,,,,,autumn,middle,-0.354776,0.078584,3.583333,ERR315859,37138932.0,tara,tara,-55.0,,,,,,,,,,,,,,,,,,0.0011164,0.0217972,7.18e-05,-0.000174,46.727684,78.50750000000001,,,,,,,,,,,,0.2306814012892191,,,0.0011396568,,,marine_water,marine_surface,surface,38473.75000000001,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_E500000075,TARA_023,SRF,42.2038,17.715,ERR315858|ERR315861,SAMEA2591084,SRF,Westerlies Biome,2009-11-18 8:41,-1184.0,17.211742,3.8228050000000002,27.9429,54.4621,0.0338,10.129158,0.001387878,0.001431253,0.027064617,0.077471482,,468.419,,,0.009125,0.040875,1.372375,16.0,58.0,3.0,37.0,115.0,,0.309499,0.542748,3734.949352,6.583423185,14477.2,0.744611238,,,,,,,,,autumn,middle,-0.354776,0.078584,3.583333,ERR315858,37425169.0,tara,tara,-5.0,,,,,,,,,,,,,,,,,,0.0016546666666666,0.071672,0.0001486666666666,-9.633333333333332e-05,48.43326866666666,10.767666666666663,,,,,,,,,,,,0.2279793175670607,,,0.0011396568,,,marine_water,marine_surface,surface,38228.05,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
TARA_E500000331,TARA_025,DCM,39.3991,19.3997,ERR599153|ERR599094,SAMEA2619782,DCM,Westerlies Biome,2009-11-23 13:52,-1274.0,15.181967,3.8489083,28.626442,38.5477,0.06,0.04793,0.001387952,0.002326648,0.028696594,0.048666991,,420.545,72.95928574,0.0001364533964,0.1055,0.3595,1.354,31.0,47.0,44.0,39.0,785.0,,0.276219,0.500541,,,,,,,,,,,,,autumn,late,0.369749,0.0,0.0,ERR599094,163486756.0,tara,tara,-50.0,,,,,,,,,,,,,,,,,,0.000882,0.0275784999999999,3.95e-05,-0.0002066666666666,47.10786916666667,75.998,,,,,,,,,,,,0.23649039127778332,,,,,,marine_water,marine_surface,surface,38489.083,PRJEB7988,10.1038/nature16942 ; 10.1126/science.1261359
