sample_id,readcount
AC_220827_F,116992545
BO_220829_F,117767820
BP2_220829_F,109998709
BS_220902_F,156772886
CF_220902_F,123930703
FV_220827_F,3919785
GV_220827_F,133250374
HO_220830_F,101652520
LB_220827_F,116321526
OS_220831_F,110408319
TC_220902_F,141711562
VL_220828_F,868
AG17_S,956139
AG27_S,3062
AO_190224_F,10325449
AO_190224_S,5779408
BJ_190227_F,11176868
BJ_190227_S,8409827
GA_190226_F,3219530
GA_190226_S,9095895
GF1_190226_F,12997977
GF1_190226_S,7725999
GF2_190226_F,14920350
GF2_190226_S,11100384
IN_190223_F,7729572
IN_190223_S,14106158
LC_190226_F,6599486
LC_190226_S,790944
PG_190225_F,9980074
PM_190223_F,9772982
PM_190223_S,9896567
PP_190301_S,8619161
RF_190301_S,7216730
TM_190224_F,4492
TM_190224_S,2283727
TM_190224_UN,7277144
VV_190228_F,12002716
PG_190225_S,7417161
CB_221018_F,167963018
FC_221023_F,128142372
FR_221020_F,101687009
SB_221021_F,125340072
SC_221020_F,140361585
SF_221019_F,105342252
SP_221019_F,110816584
TA_221020_F,98369049
SF_201023_G_F,135525314
CM_201023_F,10537301
SF_200622_G1_F,84204175
BC_200904_F,8607197
GB_200622_S,105145329
CM_200723_S,138742643
SF_200622_EF_B,116408161
BC_200904_B,32741337
SF_201023_G_B,77745286
CM_201023_B,133807726
SF_201023_EF_S,34073416
CM_201023_S,30378925
AR_170220_3_S,16951728
BQ_170218_F,15523235
BQ_170218_S1,17069955
BQ_170218_S2,14023241
BR_170218_1_F,17909144
BR_170218_1_S,20135649
BR_170218_2_F,18437399
BR_170218_2_S,30879465
CY_170214_F,17010273
CY_170214_S,35635893
EP_170215_F,19524525
EP_170215_S,31859264
ES_170215_1_F,18752381
ET_170220_1_S,17955726
FA_170219_1_S,30650547
MT_170219_F,20238243
PB_170224,18618340
PF_170222_F,30447154
PF_170222_S,15015904
PG_172224_F,37574919
PG_172224_S,45354954
PL_170224_S,15232012
QH_170213_1_F,38677452
QH_170213_1_S,106669456
QH_170213_2_S,17986156
QN_170220_F,27770527
QN_170220_S,38272189
RS_170216_F,21098708
RS_170216_S,16464635
RV_170221_F,14193761
S14_S,44234495
SI_170217_F,19837450
SI_170217_S,36426226
SL_170214_F,17556539
SL_170214_S,7715065
TC_170221_F,20011015
TC_170221_S,12028524
SF1D13_230609_B1,76923971
SF1D13_230728_B2,53410715
SF1D13_230728_F2,68706503
SF2A_230609_B1,90506010
SF2B_230609_B1,83742354
SF2C_230609_B1,69782873
G1,76761573
G2,36720764
G3,47191125
G4,39735118
G5,42969352
G8,32496067
GLAB20,110996570
NF-1_220826_S,94824868
RF-1_220827_S,102466240
RF-2_220827_S,107308810
KT-1_220826_S,146666975
KT-1_220826_F,171180393
NF-1_220826_F,145192584
RF-1_220827_F,154034389
RF-2_220827_F,156366024
SC_220630,111036412
OYU2_230629_F,38865904
KON_230628_S2,10077489
KON_230628_Smicro,40728864
DAI_230627_S3,194005632
DAI_230627_S2,100345291
DAI_230627_S1,188511900
OZ_230305_S,61310909
RC_1230306_S,84637690
PQ_230306_S,85345515
CZ_230307_S,250786039
PI_230308_S,101584987
OY_230308_S,115433370
LF_230308_S,103667297
LV_230309_S,139700289
TZ_230310_S,140474325
VA_230311_S,80687261
LN_230313_S,243831252
CM_230315_S,161130483
JB_230315_S,107701331
LB_230315_S,106212804
BF_230316_S,82515327
ES_230304_F,261024670
OZ_230305_F,126658466
RC_1230306_F,80929611
PQ_230306_F,99430252
CZ_230307_F,107563656
PI_230308_F,245295896
OY_230308_F,94413978
LF_230308_F,116852623
LV_230309_F,113515753
TZ_230310_F,280854733
VA_230311_F,79547289
QH_230313_F,108174049
LN_230313_F,85567474
CM_230315_F,105093266
LB_230315_F,66662524
BF_230316_F,63601209
JB_230315_F,108680270
OR_220726_F,162237188
QW_220726_F,121391774
UH_220727_F,107969659
UK_220727_F,69792489
TQ_220728_F,82703435
UN_220728_F,130324070
KU_220731_F,14574216
NJ_220731_F,62450953
QG_220801_F,92340518
OR_220726_S,107679143
QW_220726_S,120124458
UH_220727_S,106120830
UK_220727_S,85453613
UN_220728_S,47795469
KU_220731_S,131253892
NJ_220731_S,88162534
QG_220801_S,103941306
TQ_220728_S,94579465
GI_231006_F,177429332
GI_231006_S,179725441
HV_230418_F,264197826
SM_230628_S,151169199
MV_230623_F,108055886
MV_230623_S,65335198
SM_230628_F,183765003
GRP_230724_S,39471758
KJ_230721_F,168300589
KJ_230721_S,302970690
NR_230731_F,104206717
NR_230731_S,89052474
SJ_230730_F,124847875
SJ_230730_S,129788084
TR_230731_F,98791564
TR_230731_S,184150278
SRR3960572,10956696
SRR3960575,15900605
SRR3960576,12470163
SRR3960577,12509590
SRR3960578,11615372
SRR3960579,10237110
SRR3960580,14129756
SRR3960581,7754770
SRR3960684,9842549
SRR3961047,9151505
SRR3961604,8108939
SRR3961906,6456905
SRR3961935,8845045
SRR3961936,8066347
SRR3962293,10987440
SRR3962508,7123154
SRR3962680,5498363
SRR3962771,10360954
SRR3962772,6919283
SRR3962773,13060020
SRR3962777,8739053
SRR3963449,9532615
SRR3963456,8790787
SRR3963457,9444461
SRR3963458,6815364
SRR3963498,6673180
SRR3963571,7686136
SRR3963599,8584529
SRR3963622,7463510
SRR3963658,8243924
SRR3963804,11550843
SRR3963805,7839577
SRR3963982,8661235
SRR3964650,9076061
SRR3965585,7633879
SRR3965586,8550631
SRR3965592,8603916
SRR3965647,3466078
SRR3965676,8309590
SRR3965758,8841072
SRR3965809,6657190
SRR3965873,9485293
SRR3965874,6321575
SRR3965875,8029732
SRR3966130,8884327
SRR3967025,9221626
SRR3967319,14909959
SRR3967558,11898833
SRR3967690,10064443
SRR3967699,7337734
SRR3967700,11951243
SRR3967905,5629477
SRR3968060,8833111
SRR3968061,4470685
SRR3968062,10475633
SRR3968063,9786903
SRR3968770,9446915
SRR3968777,10490393
HTB,10188224
RWB,13842012
SOF,10588623
SWB,11745462
T1D1_241021,149749423
T1D2_241021,175437073
T2D1_241021,168977648
T2D2_241021,121522243
T3D1_241022,108216827
T3D2_241022,174658787
T4D1_241021,133377611
T4D2_241021,145213336
T4D3_241021,175629949
T5D1_241021,104374677
T5D2_241021,154150757
T5D3_241021,132181813
T6D1_241022,105078576
T6D2_241022,124377270
T7D1_241022,129828669
T7D2_241022,128560443
T8D1_241022,86604553
T8D2_241022,186714578
T9D1_241022,193752725
T9D3_241022,154603706
T9D2_241022,173357303
BO_240617_B1,151066908
BO_240617_B1F,132209460
BO_240617_B1P,160906990
BO_240617_B2,133909353
BO_240617_F1,125616546
BO_240617_S1,83786596
CBP_240617_B,109488940
CF_240622_F2,107350359
CGV_240625_F12,157322938
GV2_240623_B,137006277
GV2_240623_F,165888630
HTV_240625_F13,125464624
P3V_240625_F11,128940509
RMV_240625_F14,131087155
TCP_240624_B9,110194363
TCP_240624_F9,105704898
TCP_240624_S9,101732029
VL1_240623_F4,101250459
VL1_240623_S4,115731814
VL2_240623_F5,113138128
VL2_240623_S5,162707144
VL3_240623_F6,125952478
VL4_240623_S7,148505137
VL5_240623_F8,138735034
VL5_240623_S8,150173141
VP6_240624_F10,133289183
VP6_240624_S10,107891893
VSS_240622_F3,141828019
VL4_240623_F7,116635351
DRR093002,2501949
DRR093003,3332276
DRR093004,15331771
DRR093005,21299977
DRR163686,51509062
DRR163690,51335509
DRR163693,18121777
SRR1556897,4737162
SRR2239652,5626128
SRR3439968,3781064
SRR3440026,3714483
SRR3961733,19554880
SRR3961734,15622317
SRR3961739,15400199
SRR3961740,10967018
SRR3961741,13563485
SRR3961742,15209380
SRR3961743,8839629
SRR4030098,16569405
SRR4030101,19132437
SRR4030102,14935593
