longiyude;latitude;HF_pred;sHF_pred;Hf_obs
-179.75;89.75;121;19.9;
-179.25;89.75;80.2;32.8;
-178.75;89.75;81.1;44.5;
-178.25;89.75;81;44.6;
-177.75;89.75;109.1;19;
-177.25;89.75;109.1;19;
-176.75;89.75;109.1;19;
-176.25;89.75;78.8;47;
-175.75;89.75;78.7;47;
-175.25;89.75;78.7;47;
-174.75;89.75;78.7;47;
-174.25;89.75;120.9;20.2;
-173.75;89.75;120.9;20.2;
-173.25;89.75;120.9;20.2;
-172.75;89.75;120.9;20.2;
-172.25;89.75;120.9;20.2;
-171.75;89.75;120.9;20.2;
-171.25;89.75;119.3;23;
-170.75;89.75;119.3;23;
-170.25;89.75;119.3;23;
-169.75;89.75;119.3;23;
-169.25;89.75;119.3;23;
-168.75;89.75;119.3;23;
-168.25;89.75;119.3;23;
-167.75;89.75;119.3;23;
-167.25;89.75;119.3;23;
-166.75;89.75;119.3;23;
-166.25;89.75;119.3;23;
-165.75;89.75;119.3;23;
-165.25;89.75;119.3;23;
-164.75;89.75;119.3;23;
-164.25;89.75;119.3;23;
-163.75;89.75;119.3;23;
-163.25;89.75;119.3;23;
-162.75;89.75;119.3;23;
-162.25;89.75;119.3;23;
-161.75;89.75;120.4;20.7;
-161.25;89.75;120.4;20.7;
-160.75;89.75;120.4;20.7;
-160.25;89.75;119.2;23;
-159.75;89.75;119.2;23;
-159.25;89.75;119.2;23;
-158.75;89.75;119.2;23;
-158.25;89.75;119.3;23;
-157.75;89.75;119.3;23;
-157.25;89.75;119.3;23;
-156.75;89.75;119.3;23;
-156.25;89.75;119.3;23;
-155.75;89.75;119.3;23;
-155.25;89.75;119.3;23;
-154.75;89.75;120.4;20.7;
-154.25;89.75;120.4;20.7;
-153.75;89.75;120.4;20.8;
-153.25;89.75;120.4;20.7;
-152.75;89.75;120.4;20.7;
-152.25;89.75;120.4;20.7;
-151.75;89.75;120.4;20.7;
-151.25;89.75;120.4;20.7;
-150.75;89.75;120.4;20.7;
-150.25;89.75;119.3;23;
-149.75;89.75;119.3;23;
-149.25;89.75;119.3;23;
-148.75;89.75;119.3;23;
-148.25;89.75;120.4;20.7;
-147.75;89.75;120.4;20.7;
-147.25;89.75;120.4;20.7;
-146.75;89.75;120.4;20.7;
-146.25;89.75;120.4;20.7;
-145.75;89.75;120.4;20.7;
-145.25;89.75;120.4;20.7;
-144.75;89.75;120.4;20.7;
-144.25;89.75;120.4;20.7;
-143.75;89.75;120.4;20.8;
-143.25;89.75;120.4;20.8;
-142.75;89.75;120.4;20.7;
-142.25;89.75;120.4;20.7;
-141.75;89.75;78.7;47;
-141.25;89.75;78.7;47;
-140.75;89.75;78.6;47.1;
-140.25;89.75;78.6;47.1;
-139.75;89.75;78.6;47;
-139.25;89.75;120.9;20.2;
-138.75;89.75;120.9;20.2;
-138.25;89.75;120.9;20.2;
-137.75;89.75;120.9;20.2;
-137.25;89.75;69;40.6;
-136.75;89.75;127;1.6;
-136.25;89.75;76.8;9.2;
-135.75;89.75;76.8;9.3;
-135.25;89.75;82.3;6;
-134.75;89.75;82.1;5.8;
-134.25;89.75;81;7.8;
-133.75;89.75;82.3;6.2;
-133.25;89.75;82.4;5.3;
-132.75;89.75;68.8;14.6;
-132.25;89.75;126.2;7.4;
-131.75;89.75;120.9;20.8;
-131.25;89.75;84.4;41.3;
-130.75;89.75;84.4;41.3;
-130.25;89.75;84.4;41.3;
-129.75;89.75;84.4;41.3;
-129.25;89.75;84.4;41.3;
-128.75;89.75;84.4;41.3;
-128.25;89.75;84.5;41.3;
-127.75;89.75;84.4;41.3;
-127.25;89.75;84.4;41.3;
-126.75;89.75;84.4;41.2;
-126.25;89.75;84.4;41.3;
-125.75;89.75;84.4;41.3;
-125.25;89.75;84.4;41.3;
-124.75;89.75;84.4;41.3;
-124.25;89.75;84.5;41.3;
