ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes,trophic_mode,global_function,metabolism_sub_function,energy_metabolism_sub_function
K00018,hprA,glycerate dehydrogenase,1.1.1.29,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00023,phbB,acetoacetyl-CoA reductase,1.1.1.36,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00024,mdh,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,dchb|rtca|other,,auto|hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K00025,MDH1,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00026,MDH2,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00027,ME2/sfcA/maeA,malate dehydrogenase (oxaloacetate-decarboxylating),1.1.1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism,Other
K00028,E1.1.1.39,malate dehydrogenase (decarboxylating),1.1.1.39,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00029,maeB,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),1.1.1.40,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00030,IDH3,isocitrate dehydrogenase (NAD+),1.1.1.41,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00031,IDH1/IDH2/icd,isocitrate dehydrogenase,1.1.1.42,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,rtca|other,,auto|hetero,Cellular Processes;Metabolism,Carbohydrate metabolism;Energy metabolism;Metabolism of other amino acids,Carbon fixation
K00033,PGD/gnd/gntZ,6-phosphogluconate dehydrogenase,1.1.1.44,1.1.1.343,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of other amino acids,Other
K00034,gdh,glucose 1-dehydrogenase,1.1.1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00036,G6PD/zwf,glucose-6-phosphate 1-dehydrogenase,1.1.1.49,1.1.1.363,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of other amino acids,Other
K00043,gbd,4-hydroxybutyrate dehydrogenase,1.1.1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00051,E1.1.1.82,malate dehydrogenase (NADP+),1.1.1.82,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00058,serA/PHGDH,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase,1.1.1.95,1.1.1.399,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism,Methane metabolism
K00074,paaH/hbd/fadB/mmgB,3-hydroxybutyryl-CoA dehydrogenase,1.1.1.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Xenobiotics biodegradation and metabolism,Other
K00116,mqo,malate dehydrogenase (quinone),1.1.5.4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00121,frmA/ADH5/adhC,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase,1.1.1.284,1.1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism;Lipid metabolism;Metabolism of cofactors and vitamins;Xenobiotics biodegradation and metabolism,Methane metabolism
K00122,FDH,formate dehydrogenase,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00123,fdoG/fdhF/fdwA,formate dehydrogenase major subunit,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00124,fdoH/fdsB,formate dehydrogenase iron-sulfur subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00125,fdhB,formate dehydrogenase (coenzyme F420) beta subunit,1.17.98.3,1.8.98.6,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00126,fdsD,formate dehydrogenase subunit delta,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00127,fdoI/fdsG,formate dehydrogenase subunit gamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00131,gapN,glyceraldehyde-3-phosphate dehydrogenase (NADP+),1.2.1.9,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00134,GAPDH/gapA,glyceraldehyde 3-phosphate dehydrogenase (phosphorylating),1.2.1.12,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00140,mmsA/iolA/ALDH6A1,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of other amino acids,Other
K00148,fdhA,glutathione-independent formaldehyde dehydrogenase,1.2.1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Energy metabolism;Xenobiotics biodegradation and metabolism,Methane metabolism
K00150,gap2/gapB,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),1.2.1.59,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00161,PDHA/pdhA,pyruvate dehydrogenase E1 component subunit alpha,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Environmental Information Processing;Metabolism;Organismal Systems,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00162,PDHB/pdhB,pyruvate dehydrogenase E1 component subunit beta,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Environmental Information Processing;Metabolism;Organismal Systems,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00163,aceE,pyruvate dehydrogenase E1 component,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00164,OGDH/sucA,2-oxoglutarate dehydrogenase E1 component,1.2.4.2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00169,porA,pyruvate ferredoxin oxidoreductase alpha subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Xenobiotics biodegradation and metabolism,Carbon fixation;Methane metabolism
